ID,Name,Activity,Start,Finish,PGMA,System,MU
,HP PIPING DRAINS - SG SCOPE- (PGMA -80-452),OTH,2023-04-28,2024-11-30,80452,PCP,
,Manufacturing,MFG,2023-04-28,2024-10-16,80452,PCP,
,Dispatch,DIS,2024-10-17,2024-11-30,80452,PCP,
,LP PIPING DRAINS - SG SCOPE- (PGMA -80-453),OTH,2023-04-28,2024-11-30,80453,PCP,
,Manufacturing,MFG,2023-04-28,2024-10-16,80453,PCP,
,Dispatch,DIS,2024-10-17,2024-11-30,80453,PCP,
,SCAPH DRAINS- (PGMA -80-454),OTH,2023-04-28,2024-11-30,80454,PCP,
,Manufacturing,MFG,2023-04-28,2024-10-16,80454,PCP,
,Dispatch,DIS,2024-10-17,2024-11-30,80454,PCP,
,DRAIN FROM UNLISTED EQPT/VESSEL-SG SCOPE- (PGMA -80-455),OTH,2023-04-28,2024-11-30,80455,PCP,
,Manufacturing,MFG,2023-04-28,2024-10-16,80455,PCP,
,Dispatch,DIS,2024-10-17,2024-11-30,80455,PCP,
,SG AUX COOLING WATER UNIT SYSTEM- (PGMA -80-460),OTH,2023-04-28,2024-08-30,80460,PCP,
,Manufacturing,MFG,2023-04-28,2024-07-16,80460,PCP,
,Dispatch,DIS,2024-07-17,2024-08-30,80460,PCP,
,PC - TG AUX COOLING WATER- (PGMA -80-463),OTH,2023-04-28,2024-08-30,80463,PCP,
,Manufacturing,MFG,2023-04-28,2024-07-16,80463,PCP,PC
,Dispatch,DIS,2024-07-17,2024-08-30,80463,PCP,PC
,PC - MAIN CIRCULATION WATER PIPING- (PGMA -80-468),OTH,2023-04-28,2024-08-30,80468,PCP,
,Manufacturing,MFG,2023-04-28,2024-07-16,80468,PCP,PC
,Dispatch,DIS,2024-07-17,2024-08-30,80468,PCP,PC
,PC - MISCELLANEOUS COOLING WATER (PGMA - 80 - 469),OTH,2023-04-28,2024-08-30,ÿ80 ÿ469,PCP,
,Manufacturing,MFG,2023-04-28,2024-07-16,80  469,PCP,PC
,Dispatch,DIS,2024-07-17,2024-08-30,80  469,PCP,PC
,PC - BOILER WATER WASH TO AND FROM UNIT- (PGMA -80-471),OTH,2023-04-28,2024-09-29,80471,PCP,
,Manufacturing,MFG,2023-04-28,2024-08-15,80471,PCP,PC
,Dispatch,DIS,2024-08-16,2024-09-29,80471,PCP,PC
,PC - DEMINERALISED WATER SYSTEM- (PGMA -80-473),OTH,2023-04-28,2024-09-29,80473,PCP,
,Manufacturing,MFG,2023-04-28,2024-08-15,80473,PCP,PC
,Dispatch,DIS,2024-08-16,2024-09-29,80473,PCP,PC
,PC - SERVICE WATER PIPING- (PGMA -80-477),OTH,2023-04-28,2024-09-29,80477,PCP,
,Manufacturing,MFG,2023-04-28,2024-08-15,80477,PCP,PC
,Dispatch,DIS,2024-08-16,2024-09-29,80477,PCP,PC
,PC - FIRE WATER-OTHER AREAS- (PGMA -80-480),OTH,2023-04-28,2024-11-30,80480,PCP,
,Manufacturing,MFG,2023-04-28,2024-10-16,80480,PCP,PC
,Dispatch,DIS,2024-10-17,2024-11-30,80480,PCP,PC
,PC - CONTROL OIL PIPING  (PGMA -80-484),OTH,2023-04-28,2024-11-30,80484,PCP,
,Manufacturing,MFG,2023-04-28,2024-10-16,80484,PCP,PC
,Dispatch,DIS,2024-10-17,2024-11-30,80484,PCP,PC
,PC - LOW PRESSURE DOSING PIPING- (PGMA -80-601),OTH,2023-04-28,2024-09-29,80601,PCP,
,Manufacturing,MFG,2023-04-28,2024-08-15,80601,PCP,PC
,Dispatch,DIS,2024-08-16,2024-09-29,80601,PCP,PC
,PC - ACID CLEANING PIPING-TEMPORARY (PGMA - 80-604),OTH,2023-04-28,2024-09-29,ÿ80604,PCP,
,Manufacturing,MFG,2023-04-28,2024-08-15,80604,PCP,PC
,Dispatch,DIS,2024-08-16,2024-09-29,80604,PCP,PC
,PC - SERVICE AIR-COMP SUCT AND DIS TO RECEI- (PGMA -80-610),OTH,2023-04-28,2024-09-29,80610,PCP,
,Manufacturing,MFG,2023-04-28,2024-08-15,80610,PCP,PC
,Dispatch,DIS,2024-08-16,2024-09-29,80610,PCP,PC
,PC - SERVICE AIR FOR INDIVIDUAL UNITS- (PGMA -80-612),OTH,2023-04-28,2024-09-29,80612,PCP,
,Manufacturing,MFG,2023-04-28,2024-08-15,80612,PCP,PC
,Dispatch,DIS,2024-08-16,2024-09-29,80612,PCP,PC
,PC - INST AIR COMP SUC AND DIS TO RECEIVER- (PGMA -80-614),OTH,2023-04-28,2024-09-29,80614,PCP,
,Manufacturing,MFG,2023-04-28,2024-08-15,80614,PCP,PC
,Dispatch,DIS,2024-08-16,2024-09-29,80614,PCP,PC
,PC - INSTRUMENT AIR FOR INDIVIDUAL UNIT- (PGMA -80-616),OTH,2023-04-28,2024-09-29,80616,PCP,
,Manufacturing,MFG,2023-04-28,2024-08-15,80616,PCP,PC
,Dispatch,DIS,2024-08-16,2024-09-29,80616,PCP,PC
,PC - FUEL OIL Supply AND RETURN PIPING- (PGMA -80-650),OTH,2023-04-28,2024-09-29,80650,PCP,
,Manufacturing,MFG,2023-04-28,2024-08-15,80650,PCP,PC
,Dispatch,DIS,2024-08-16,2024-09-29,80650,PCP,PC
,PC - H AND S FOR LP PIPING- (PGMA -80-933),OTH,2023-04-28,2024-11-30,80933,PCP,
,Manufacturing,MFG,2023-04-28,2024-10-16,80933,PCP,PC
,Dispatch,DIS,2024-10-17,2024-11-30,80933,PCP,PC
,PC - SUB DELIVERY VALVES FOR LIGHT UP- (PGMA -80-901),OTH,2023-04-28,2024-11-30,80901,PCP,
,Manufacturing,MFG,2023-04-28,2024-10-16,80901,PCP,PC
,Dispatch,DIS,2024-10-17,2024-11-30,80901,PCP,PC
,PC - H AND S FOR LIGHT UP STEAM LINE- (PGMA -80-921),OTH,2023-04-28,2024-11-30,80921,PCP,
,Manufacturing,MFG,2023-04-28,2024-10-16,80921,PCP,PC
,Dispatch,DIS,2024-10-17,2024-11-30,80921,PCP,PC
,PC - H&S FOR TEMPORARY PIPING ACID AND ALKALI (PGMA -80-926),OTH,2023-04-28,2024-11-30,80926,PCP,
,Manufacturing,MFG,2023-04-28,2024-10-16,80926,PCP,PC
,Dispatch,DIS,2024-10-17,2024-11-30,80926,PCP,PC
,PC - H&S FOR TEMPORARY PIPING - STEAM BLOWING (PGMA -80-927),OTH,2023-04-28,2024-11-30,80927,PCP,
,Manufacturing,MFG,2023-04-28,2024-10-16,80927,PCP,PC
,Dispatch,DIS,2024-10-17,2024-11-30,80927,PCP,PC
,PC - H AND S FOR BOILER LIGHT UP - TG- (PGMA -80-928),OTH,2023-04-28,2024-11-30,80928,PCP,
,Manufacturing,MFG,2023-04-28,2024-10-16,80928,PCP,PC
,Dispatch,DIS,2024-10-17,2024-11-30,80928,PCP,PC
,PC - CW STORAGE TANK 16-25 CUM- (PGMA -81-036),OTH,2023-04-28,2024-06-30,81036,PCP,
,Manufacturing,MFG,2023-04-28,2024-05-16,81036,PCP,PC
,Dispatch,DIS,2024-05-17,2024-06-30,81036,PCP,PC
,PC - SPECIAL TANKS AND VESSELS- (PGMA -81-060),OTH,2023-04-28,2024-06-30,81060,PCP,
,Manufacturing,MFG,2023-04-28,2024-05-16,81060,PCP,PC
,Dispatch,DIS,2024-05-17,2024-06-30,81060,PCP,PC
,PC - COOLING WATER PUMP- (PGMA -81-110),OTH,2023-04-28,2024-11-30,81110,PCP,
,Manufacturing,MFG,2023-04-28,2024-10-16,81110,PCP,PC
,Dispatch,DIS,2024-10-17,2024-11-30,81110,PCP,PC
,PC - FIX COM FOR MISCELLANEOUS PPG INSULATION- (PGMA -81-318),OTH,2023-04-28,2024-11-30,81318,PCP,
,Manufacturing,MFG,2023-04-28,2024-10-16,81318,PCP,PC
,Dispatch,DIS,2024-10-17,2024-11-30,81318,PCP,PC
,PC - MINERAL WOOL MATTRESS- (PGMA -81-325),OTH,2023-04-28,2025-01-30,81325,PCP,
,Manufacturing,MFG,2023-04-28,2024-12-16,81325,PCP,PC
,Dispatch,DIS,2024-12-17,2025-01-30,81325,PCP,PC
,PC - SEALING COMPOUND FOR INSL- (PGMA -81-341),OTH,2023-04-28,2024-11-30,81341,PCP,
,Manufacturing,MFG,2023-04-28,2024-10-16,81341,PCP,PC
,Dispatch,DIS,2024-10-17,2024-11-30,81341,PCP,PC
,PC - ALUMINIUM CLADDING FOR INSULATION- (PGMA -81-350),OTH,2023-04-28,2025-01-30,81350,PCP,
,Manufacturing,MFG,2023-04-28,2024-12-16,81350,PCP,PC
,Dispatch,DIS,2024-12-17,2025-01-30,81350,PCP,PC
,PC - DIRECT GAUGES FOR STEAM LINES- (PGMA -81-411),OTH,2023-04-28,2024-11-30,81411,PCP,
,Manufacturing,MFG,2023-04-28,2024-10-16,81411,PCP,PC
,Dispatch,DIS,2024-10-17,2024-11-30,81411,PCP,PC
,PC - DIRECT GAUGES FOR NON-STEAM LINES- (PGMA -81-412),OTH,2023-04-28,2024-11-30,81412,PCP,
,Manufacturing,MFG,2023-04-28,2024-10-16,81412,PCP,PC
,Dispatch,DIS,2024-10-17,2024-11-30,81412,PCP,PC
,PC - LOCAL CONTROL EQPT FOR NON-STEAM LINES- (PGMA -81-414),OTH,2023-04-28,2024-11-30,81414,PCP,
,Manufacturing,MFG,2023-04-28,2024-10-16,81414,PCP,PC
,Dispatch,DIS,2024-10-17,2024-11-30,81414,PCP,PC
,PC - TEST THERMOWELLS- (PGMA -81-415),OTH,2023-04-28,2024-11-30,81415,PCP,
,Manufacturing,MFG,2023-04-28,2024-10-16,81415,PCP,PC
,Dispatch,DIS,2024-10-17,2024-11-30,81415,PCP,PC
,PC - INSTRUMENTATION FOR STARTUP SYSTEM- (PGMA -81-417),OTH,2023-04-28,2024-11-30,81417,PCP,
,Manufacturing,MFG,2023-04-28,2024-10-16,81417,PCP,PC
,Dispatch,DIS,2024-10-17,2024-11-30,81417,PCP,PC
,For SB,OTH,2022-09-27,2025-04-01,,PCP,
,Engineering COMPLETION,ENG,2022-09-27,2023-07-08,,PCP,
,COMPLETION of DDR,OTH,2023-03-11,2023-10-24,,PCP,
,PC - MS FROM BOILER STOP VALVE TO ESV- (PGMA -80-301),OTH,2023-04-28,2025-04-01,80301,PCP,
,Manufacturing,MFG,2023-04-28,2025-02-15,80301,PCP,PC
,Dispatch,DIS,2025-02-16,2025-04-01,80301,PCP,PC
,PC - MS FROM ESV TO TURBINE (PGMA - 80-302),OTH,2023-04-28,2025-04-01,ÿ80302,PCP,
,Manufacturing,MFG,2023-04-28,2025-02-15,80302,PCP,PC
,Dispatch,DIS,2025-02-16,2025-04-01,80302,PCP,PC
,PC - MS HEADER TO AUX PRDS- (PGMA -80-303),OTH,2023-04-28,2025-04-01,80303,PCP,
,Manufacturing,MFG,2023-04-28,2025-02-15,80303,PCP,PC
,Dispatch,DIS,2025-02-16,2025-04-01,80303,PCP,PC
,PC - MS HEADER TO HPBP VALVE- (PGMA -80-304),OTH,2023-04-28,2025-04-01,80304,PCP,
,Manufacturing,MFG,2023-04-28,2025-02-15,80304,PCP,PC
,Dispatch,DIS,2025-02-16,2025-04-01,80304,PCP,PC
,PC - HRH FROM REHEATER TO INTERCEPTOR VALVE- (PGMA -80-310),OTH,2023-04-28,2025-04-01,80310,PCP,
,Manufacturing,MFG,2023-04-28,2025-02-15,80310,PCP,PC
,Dispatch,DIS,2025-02-16,2025-04-01,80310,PCP,PC
,PC - LPBP VALVE UPSTREAM AND DOWNSTREAM- (PGMA -80-312),OTH,2023-04-28,2025-04-01,80312,PCP,
,Manufacturing,MFG,2023-04-28,2025-02-15,80312,PCP,PC
,Dispatch,DIS,2025-02-16,2025-04-01,80312,PCP,PC
,PC - PERMANENT STEAM BLOWING (PGMA - 80-319),OTH,2023-04-28,2025-04-01,ÿ80319,PCP,
,Manufacturing,MFG,2023-04-28,2025-02-15,80319,PCP,PC
,Dispatch,DIS,2025-02-16,2025-04-01,80319,PCP,PC
,PC - CRH FROM TURBINE TO REHEATER- (PGMA -80-320),OTH,2023-04-28,2025-04-01,80320,PCP,
,Manufacturing,MFG,2023-04-28,2025-02-15,80320,PCP,PC
,Dispatch,DIS,2025-02-16,2025-04-01,80320,PCP,PC
,PC - HPBP VALVE TO CRH PIPING- (PGMA -80-321),OTH,2023-04-28,2025-04-01,80321,PCP,
,Manufacturing,MFG,2023-04-28,2025-02-15,80321,PCP,PC
,Dispatch,DIS,2025-02-16,2025-04-01,80321,PCP,PC
,PC - STEAM TO BFP DRIVE TURBINE- (PGMA -80-323),OTH,2023-04-28,2025-04-01,80323,PCP,
,Manufacturing,MFG,2023-04-28,2025-02-15,80323,PCP,PC
,Dispatch,DIS,2025-02-16,2025-04-01,80323,PCP,PC
,PC - CRH HEADER TO AUX.PRDS- (PGMA -80-324),OTH,2023-04-28,2025-04-01,80324,PCP,
,Manufacturing,MFG,2023-04-28,2025-02-15,80324,PCP,PC
,Dispatch,DIS,2025-02-16,2025-04-01,80324,PCP,PC
,PC - H AND S FOR CRITICAL PPG(BLR & TG AREA)- (PGMA -80-830),OTH,2023-04-28,2025-04-01,,PCP,
,Manufacturing,MFG,2023-04-28,2025-02-15,80830,PCP,PC
,Dispatch,DIS,2025-02-16,2025-04-01,80830,PCP,PC
,PC - AUX STRUCTURE FOR CRITICAL PIPING-SG- (PGMA -80-940),OTH,2023-04-28,2025-04-01,80940,PCP,
,Manufacturing,MFG,2023-04-28,2025-02-15,80940,PCP,PC
,Dispatch,DIS,2025-02-16,2025-04-01,80940,PCP,PC
,For SYN,OTH,2022-09-27,2025-05-30,,PCP,
,Engineering COMPLETION,ENG,2022-09-27,2023-07-08,,PCP,
,COMPLETION of DDR,OTH,2023-03-11,2023-10-24,,PCP,
,PC - HP AND LP BYPASS WARM UP- (PGMA -80-307),OTH,2023-04-28,2025-05-30,80307,PCP,
,Manufacturing,MFG,2023-04-28,2025-04-15,80307,PCP,PC
,Dispatch,DIS,2025-04-16,2025-05-30,80307,PCP,PC
,PC - CRH PIPING TO DEAERATING HEATER- (PGMA -80-322),OTH,2023-04-28,2025-05-30,80322,PCP,
,Manufacturing,MFG,2023-04-28,2025-04-15,80322,PCP,PC
,Dispatch,DIS,2025-04-16,2025-05-30,80322,PCP,PC
,PC - EXTRACTION STEAM TO BFP DRIVE TURBINE- (PGMA -80-329),OTH,2023-04-28,2025-05-30,80329,PCP,
,Manufacturing,MFG,2023-04-28,2025-04-15,80329,PCP,PC
,Dispatch,DIS,2025-04-16,2025-05-30,80329,PCP,PC
,PC - EXTRACTION STEAM TO LP HEATER-2- (PGMA -80-331),OTH,2023-04-28,2025-05-30,80331,PCP,
,Manufacturing,MFG,2023-04-28,2025-04-15,80331,PCP,PC
,Dispatch,DIS,2025-04-16,2025-05-30,80331,PCP,PC
,PC - EXTRACTION STEAM TO LP HEATER-3- (PGMA -80-332),OTH,2023-04-28,2025-05-30,80332,PCP,
,Manufacturing,MFG,2023-04-28,2025-04-15,80332,PCP,PC
,Dispatch,DIS,2025-04-16,2025-05-30,80332,PCP,PC
,PC - EXTRACTION STEAM TO LP HEATER-4- (PGMA -80-333),OTH,2023-04-28,2025-05-30,80333,PCP,
,Manufacturing,MFG,2023-04-28,2025-04-15,80333,PCP,PC
,Dispatch,DIS,2025-04-16,2025-05-30,80333,PCP,PC
,PC - EXTRACTION STEAM TO LP HEATER-5 (PGMA - 80334),OTH,2023-04-28,2025-05-30,ÿ80334,PCP,
,Manufacturing,MFG,2023-04-28,2025-04-15,80334,PCP,PC
,Dispatch,DIS,2025-04-16,2025-05-30,80334,PCP,PC
,PC - EXTRACTION STEAM TO DEAERATING HEATER- (PGMA -80-335),OTH,2023-04-28,2025-05-30,80335,PCP,
,Manufacturing,MFG,2023-04-28,2025-04-15,80335,PCP,PC
,Dispatch,DIS,2025-04-16,2025-05-30,80335,PCP,PC
,PC - EXTRACTION STEAM TO HP HEATER NO.1- (PGMA -80-336),OTH,2023-04-28,2025-05-30,80336,PCP,
,Manufacturing,MFG,2023-04-28,2025-04-15,80336,PCP,PC
,Dispatch,DIS,2025-04-16,2025-05-30,80336,PCP,PC
,PC - EXTRACTION STEAM TO HP HEATER-2- (PGMA -80-337),OTH,2023-04-28,2025-05-30,80337,PCP,
,Manufacturing,MFG,2023-04-28,2025-04-15,80337,PCP,PC
,Dispatch,DIS,2025-04-16,2025-05-30,80337,PCP,PC
,PC - EXTRACTION STEAM TO HP HEATER-3- (PGMA -80-338),OTH,2023-04-28,2025-05-30,80338,PCP,
,Manufacturing,MFG,2023-04-28,2025-04-15,80338,PCP,PC
,Dispatch,DIS,2025-04-16,2025-05-30,80338,PCP,PC
,PC - AUX STEAM TO BFD TURBINE- (PGMA -80-339),OTH,2023-04-28,2025-05-30,80339,PCP,
,Manufacturing,MFG,2023-04-28,2025-04-15,80339,PCP,PC
,Dispatch,DIS,2025-04-16,2025-05-30,80339,PCP,PC
,PC - AUX STEAM TO GLAND SEALS - TG SCOPE- (PGMA -80-349),OTH,2023-04-28,2025-05-30,80349,PCP,
,Manufacturing,MFG,2023-04-28,2025-04-15,80349,PCP,PC
,Dispatch,DIS,2025-04-16,2025-05-30,80349,PCP,PC
,PC - AUX STEAM TO UNLISTED USERS - SG SCOPE- (PGMA -80-351),OTH,2023-04-28,2025-05-30,80351,PCP,
,Manufacturing,MFG,2023-04-28,2025-04-15,80351,PCP,PC
,Dispatch,DIS,2025-04-16,2025-05-30,80351,PCP,PC
,PC - EXHAUST STEAM FROM PRIME MOVERS-TG SCOPE- (PGMA -80-363),OTH,2023-04-28,2025-05-30,80363,PCP,
,Manufacturing,MFG,2023-04-28,2025-04-15,80363,PCP,PC
,Dispatch,DIS,2025-04-16,2025-05-30,80363,PCP,PC
,PC - HP DRAIN FLASH TANK VENT TO ATMOSPHERE- (PGMA -80-370),OTH,2023-04-28,2025-05-30,80370,PCP,
,Manufacturing,MFG,2023-04-28,2025-04-15,80370,PCP,PC
,Dispatch,DIS,2025-04-16,2025-05-30,80370,PCP,PC
,PC - DRAIN FLASH TANK VENT TO CONDENSER- (PGMA -80-371),OTH,2023-04-28,2025-05-30,80371,PCP,
,Manufacturing,MFG,2023-04-28,2025-04-15,80371,PCP,PC
,Dispatch,DIS,2025-04-16,2025-05-30,80371,PCP,PC
,PC - UNLISTED SV EXHAUSTS - TG SCOPE- (PGMA -80-375),OTH,2023-04-28,2025-05-30,80375,PCP,
,Manufacturing,MFG,2023-04-28,2025-04-15,80375,PCP,PC
,Dispatch,DIS,2025-04-16,2025-05-30,80375,PCP,PC
, PC - HPH SV EXHAUST TO FLASH TANK- (PGMA -80-379),OTH,2023-04-28,2025-05-30,80379,ESP,
,Manufacturing,MFG,2023-04-28,2025-04-15,80379,ESP,PC
,Dispatch,DIS,2025-04-16,2025-05-30,80379,ESP,PC
,PC - HP HEATER VENTS - TG SCOPE- (PGMA -80-381),OTH,2023-04-28,2025-05-30,80381,ESP,
,Manufacturing,MFG,2023-04-28,2025-04-15,80381,ESP,PC
,Dispatch,DIS,2025-04-16,2025-05-30,80381,ESP,PC
,PC - LP HEATER VENTS- (PGMA -80-382),OTH,2023-04-28,2025-05-30,80382,ESP,
,Manufacturing,MFG,2023-04-28,2025-04-15,80382,ESP,PC
,Dispatch,DIS,2025-04-16,2025-05-30,80382,ESP,PC
,PC - VENT FROM UNLISTED PPG/EQPT TO COND- (PGMA -80-385),OTH,2023-04-28,2025-05-30,80385,ESP,
,Manufacturing,MFG,2023-04-28,2025-04-15,80385,ESP,PC
,Dispatch,DIS,2025-04-16,2025-05-30,80385,ESP,PC
,STEAM BLOWING PIPING-TEMPORARY (PGMA - 80-399),OTH,2023-04-28,2025-05-30,ÿ80399,ESP,
,Manufacturing,MFG,2023-04-28,2025-04-15,80399,ESP,PC
,Dispatch,DIS,2025-04-16,2025-05-30,80399,ESP,PC
,PC - UNLISTED SPRAY WATER - TG SCOPE- (PGMA -80-435),OTH,2023-04-28,2025-05-30,80435,ESP,
,Manufacturing,MFG,2023-04-28,2025-04-15,80435,ESP,PC
,Dispatch,DIS,2025-04-16,2025-05-30,80435,ESP,PC
,PC - CONTROL OIL PIPING ESV & IV- (PGMA -80-482),OTH,2023-04-28,2025-05-30,80482,ESP,
,Manufacturing,MFG,2023-04-28,2025-04-15,80482,ESP,PC
,Dispatch,DIS,2025-04-16,2025-05-30,80482,ESP,PC
,PC - GLAND STEAM COOLER DRAINS- (PGMA -80-442),OTH,2023-04-28,2025-05-30,80442,ESP,
,Manufacturing,MFG,2023-04-28,2025-04-15,80442,ESP,PC
,Dispatch,DIS,2025-04-16,2025-05-30,80442,ESP,PC
,PC - LP HEATER-1 TO CONDENSER- (PGMA -80-443),OTH,2023-04-28,2025-05-30,80443,ESP,
,Manufacturing,MFG,2023-04-28,2025-04-15,80443,ESP,PC
,Dispatch,DIS,2025-04-16,2025-05-30,80443,ESP,PC
,PC - LP HEATER-2/3/4/5 DRAINS AND DRIP PUMP I- (PGMA -80-444),OTH,2023-04-28,2025-05-30,80444,ESP,
,Manufacturing,MFG,2023-04-28,2025-04-15,80444,ESP,PC
,Dispatch,DIS,2025-04-16,2025-05-30,80444,ESP,PC
,PC - HP HEATER DRAINS- (PGMA -80-447),OTH,2023-04-28,2025-05-30,80447,ESP,
,Manufacturing,MFG,2023-04-28,2025-04-15,80447,ESP,PC
,Dispatch,DIS,2025-04-16,2025-05-30,80447,ESP,PC
,PC - DRAIN FROM UNLISTED EQPT/VESSEL-TG SCOPE- (PGMA -80-448),OTH,2023-04-28,2025-05-30,80448,ESP,
,Manufacturing,MFG,2023-04-28,2025-04-15,80448,ESP,PC
,Dispatch,DIS,2025-04-16,2025-05-30,80448,ESP,PC
,PC - TG CYCLE PIPING DRAINS AND VENTS- (PGMA -80-449),OTH,2023-04-28,2025-05-30,80449,ESP,
,Manufacturing,MFG,2023-04-28,2025-04-15,80449,ESP,PC
,Dispatch,DIS,2025-04-16,2025-05-30,80449,ESP,PC
,PC - MANIFOLDS FOR HP FLASH BOX AND CONDENS- (PGMA -80-457),OTH,2023-04-28,2025-05-30,80457,ESP,
,Manufacturing,MFG,2023-04-28,2025-04-15,80457,ESP,PC
,Dispatch,DIS,2025-04-16,2025-05-30,80457,ESP,PC
,PC - HP FLASH TANK DRAIN TO CONDENSER- (PGMA -80-459),OTH,2023-04-28,2025-05-30,80459,ESP,
,Manufacturing,MFG,2023-04-28,2025-04-15,80459,ESP,PC
,Dispatch,DIS,2025-04-16,2025-05-30,80459,ESP,PC
,PC - DRINKING WATER PIPING- (PGMA -80-478),OTH,2023-04-28,2025-05-30,80478,ESP,
,Manufacturing,MFG,2023-04-28,2025-04-15,80478,ESP,PC
,Dispatch,DIS,2025-04-16,2025-05-30,80478,ESP,PC
,PC - HP FLASH TANK VENT TO CONDENSER- (PGMA -80-493),OTH,2023-04-28,2025-05-30,80493,ESP,
,Manufacturing,MFG,2023-04-28,2025-04-15,80493,ESP,PC
,Dispatch,DIS,2025-04-16,2025-05-30,80493,ESP,PC
,PC - LP FLASH TANK VENT TO CONDENSER- (PGMA -80-494),OTH,2023-04-28,2025-05-30,80494,ESP,
,Manufacturing,MFG,2023-04-28,2025-04-15,80494,ESP,PC
,Dispatch,DIS,2025-04-16,2025-05-30,80494,ESP,PC
,PC - LP FLASH TANK DRAIN TO COND- (PGMA -80-495),OTH,2023-04-28,2025-05-30,80495,ESP,
,Manufacturing,MFG,2023-04-28,2025-04-15,80495,ESP,PC
,Dispatch,DIS,2025-04-16,2025-05-30,80495,ESP,PC
,PC - LP Condensate PIPING WITHIN TG HALL FOR- (PGMA -80-545),OTH,2023-04-28,2025-05-30,80545,ESP,
,Manufacturing,MFG,2023-04-28,2025-04-15,80545,ESP,PC
,Dispatch,DIS,2025-04-16,2025-05-30,80545,ESP,PC
,PC - LUB OIL FLUSHING & PR TESTING (PGMA - 80-673),OTH,2023-04-28,2025-05-30,ÿ80673,ESP,
,Manufacturing,MFG,2023-04-28,2025-04-15,80673,ESP,PC
,Dispatch,DIS,2025-04-16,2025-05-30,80673,ESP,PC
,PC - H AND S FOR SYNCHRONISATION - TG- (PGMA -80-930),OTH,2023-04-28,2025-05-30,80930,ESP,
,Manufacturing,MFG,2023-04-28,2025-04-15,80930,ESP,PC
,Dispatch,DIS,2025-04-16,2025-05-30,80930,ESP,PC
,PC - CLEAN DRAIN FLASH TANK - DIA 1500 MM- (PGMA -81-012),OTH,2023-04-28,2025-05-30,81012,ESP,
,Manufacturing,MFG,2023-04-28,2025-04-15,81012,ESP,PC
,Dispatch,DIS,2025-04-16,2025-05-30,81012,ESP,PC
,PC -Condensate TRANSFER PUMP- (PGMA -81-100),OTH,2023-04-28,2024-11-30,81100,ESP,
,Manufacturing,MFG,2023-04-28,2024-10-16,81100,ESP,PC
,Dispatch,DIS,2024-10-17,2024-11-30,81100,ESP,PC
,PC - PERFORMANCE GUARANTEE TEST MATERIALS- (PGMA -81-416),OTH,2023-04-28,2025-05-30,81416,ESP,
,Manufacturing,MFG,2023-04-28,2025-04-15,81416,ESP,PC
,Dispatch,DIS,2025-04-16,2025-05-30,81416,ESP,PC
,BOI-PEM - THERMAL INSULATION - R-MATTRESSES/P-SECN ,OTH,2024-01-20,2025-03-14,,ESP,
,Ordering,OTH,2024-01-20,2024-04-18,,ESP,PEM
,Detailed Engineering,ENG,2024-04-19,2024-09-15,,ESP,PEM
,Manufacturing,MFG,2024-09-16,2025-02-12,,ESP,PEM
,Dispatch,DIS,2025-02-13,2025-03-14,,ESP,PEM
,BOI-PEM -  THERMAL INSULATION -ANCILLARY MATERIAL ,OTH,2023-12-01,2025-01-23,,ESP,
,Ordering,OTH,2023-12-01,2024-02-28,,ESP,PEM
,Detailed Engineering,ENG,2024-02-29,2024-07-27,,ESP,PEM
,Manufacturing,MFG,2024-07-28,2024-12-24,,ESP,PEM
,Dispatch,DIS,2024-12-25,2025-01-23,,ESP,PEM
,BOI-PEM -  ALUMINIUM SHEETS/COILS,OTH,2024-04-04,2025-05-28,,ESP,
,Ordering,OTH,2024-04-04,2024-07-02,,ESP,PEM
,Detailed Engineering,ENG,2024-07-03,2024-11-29,,ESP,PEM
,Manufacturing,MFG,2024-11-30,2025-04-28,,ESP,PEM
,Dispatch,DIS,2025-04-29,2025-05-28,,ESP,PEM
, BOI- PEM - AIR TRAPS ,OTH,2023-11-21,2025-01-13,,ESP,
,Ordering,OTH,2023-11-21,2024-02-18,,ESP,PEM
,Detailed Engineering,ENG,2024-02-19,2024-07-17,,ESP,PEM
,Manufacturing,MFG,2024-07-18,2024-12-14,,ESP,PEM
,Dispatch,DIS,2024-12-15,2025-01-13,,ESP,PEM
,PEM - STEAM TRAPS ,OTH,2023-12-01,2025-01-23,,ESP,
,Ordering,OTH,2023-12-01,2024-02-28,,ESP,PEM
,Detailed Engineering,ENG,2024-02-29,2024-07-27,,ESP,PEM
,Manufacturing,MFG,2024-07-28,2024-12-24,,ESP,PEM
,Dispatch,DIS,2024-12-25,2025-01-23,,ESP,PEM
,Valves,OTH,2022-09-27,2025-05-22,,ESP,
,Supply,OTH,2022-09-27,2025-05-22,,ESP,
,"TRYV - Power Cycle Piping, DM. Water & Lube Oil System Valves ( PGMA - 80913)",OTH,2024-05-28,2025-02-11,ÿÿ80913,ESP,
,Manufacturing,MFG,2024-05-28,2024-11-27,80913,ESP,TRY
,Dispatch,DIS,2024-08-28,2025-02-11,80913,ESP,TRY
,TRYV - Turbine Integral Piping system Valves( PGMA - 80919),OTH,2024-05-28,2025-02-11,ÿÿ80919,ESP,
,Manufacturing,MFG,2024-05-28,2024-11-27,80919,ESP,TRY
,Dispatch,DIS,2024-08-28,2025-02-11,80919,ESP,TRY
