ID,Name,Activity,Start,Finish,PGMA,System,MU
,Readiness of Major Equipment and system: ACW,OTH,2025-11-04,2025-11-04,,,
,Readiness of Major Equipment and system: CW,OTH,2025-07-13,2025-07-13,,,
,Readiness of Major Equipment and system: Fuel Oil system,OTH,2025-11-17,2025-11-17,,,
,Readiness of Major Equipment and system: Bunker,OTH,2025-06-23,2025-06-23,,,
,Readiness of Major Equipment and system: WTP,OTH,2025-12-26,2025-12-26,,,
,Readiness of Major Equipment and system: STP,OTH,2026-06-14,2026-06-14,,,
,Readiness of Major Equipment and system: MRS,OTH,2026-06-20,2026-06-20,,,
,Readiness of Major Equipment and system: CHP,OTH,2026-01-26,2026-01-26,,,
,Readiness of Major Equipment and system: AHP,OTH,2026-04-26,2026-04-26,,,
,Readiness of Major Equipment and system: FGD,OTH,2026-05-18,2026-05-18,,,
,CUSTOMER Inputs,CUST,2022-09-27,2025-11-25,,,
,CUSTOMER INPUTS: LAND (FREE FROM ALL ENCUMBRANCES),CUST,2022-09-27,2022-11-25,,,
,APPROACH ROAD UPTO THE MAIN PLANT,OTH,2022-09-27,2022-09-27,,,
,CUSTOMER INPUTS: CONSTRUCTION WATER ,CUST,2022-10-11,2022-10-11,,,
,CUSTOMER INPUTS: CONSTRUCTION POWER SOURCE,CUST,2022-10-11,2022-10-11,,,
,CUSTOMER INPUTS:  AVAILABILITY OF START-UP POWER ,CUST,2025-01-25,2025-01-25,,,
,CUSTOMER INPUTS: RAW WATER AVAILABILITY UPTO THE TERMINAL POINT OF PLANT ,CUST,2024-12-26,2024-12-26,,,
,CUSTOMER INPUTS: FUEL OIL AVAILABILITY ,CUST,2025-08-27,2025-08-27,,,
,CUSTOMER INPUTS: LIMESTONE AVAILABILITY ,CUST,2025-09-27,2025-09-27,,,
,CUSTOMER INPUTS: COAL AVAILABILITY ,CUST,2025-11-25,2025-11-25,,,
,CUSTOMER INPUTS: AVAILABILITY OF POWER EVACUATION ,CUST,2025-08-17,2025-08-17,,,
,Award of Sub-Contracts by PS-Region,ORD,2022-09-27,2024-11-15,,Award of Sub-Contracts by PS-Region,
,"Construction power package including construction lighting in plant, construction water, steel yard",OTH,2022-09-27,2022-11-10,,Award of Sub-Contracts by PS-RegionAward of Sub-Contracts by PS-Region,
,NIT,ENQ,2022-09-27,2022-09-27,,"Award of Sub-Contracts by PS-RegionConstruction power package including construction lighting in plant, construction water, steel yard",PSWR
,LOI,ORD,2022-09-27,2022-10-26,,"Award of Sub-Contracts by PS-RegionConstruction power package including construction lighting in plant, construction water, steel yard",PSWR
,MOBILIZATION BY AGENCY AT SITE,ORD,2022-10-27,2022-11-10,,"Award of Sub-Contracts by PS-RegionConstruction power package including construction lighting in plant, construction water, steel yard",PSWR
,Enabling work,OTH,2022-11-25,2023-02-08,,Award of Sub-Contracts by PS-RegionAward of Sub-Contracts by PS-Region,
,NIT,ENQ,2022-11-25,2022-11-25,,Award of Sub-Contracts by PS-RegionEnabling work,PSWR
,LOI,ORD,2022-11-26,2023-01-24,,Award of Sub-Contracts by PS-RegionEnabling work,PSWR
,MOBILIZATION BY AGENCY AT SITE,ORD,2023-01-25,2023-02-08,,Award of Sub-Contracts by PS-RegionEnabling work,PSWR
,Civil,OTH,2022-10-06,2023-09-06,,Award of Sub-Contracts by PS-RegionAward of Sub-Contracts by PS-Region,
,Dismantling work of above ground facility,CIV,2022-10-06,2022-12-20,,Award of Sub-Contracts by PS-RegionCivil,PSWR
,NIT,ENQ,2022-10-06,2022-10-06,,Award of Sub-Contracts by PS-RegionDismantling work of above ground facility,PSWR
,LOI,ORD,2022-10-07,2022-12-05,,Award of Sub-Contracts by PS-RegionDismantling work of above ground facility,PSWR
,MOBILIZATION BY AGENCY AT SITE,ORD,2022-12-06,2022-12-20,,Award of Sub-Contracts by PS-RegionDismantling work of above ground facility,PSWR
,Civil- SG-1+ ESP-1+FGD-1 (Absorber+Fan+ Duct up to Chimney etc)+ BAH-1+ SCR-1 + Levelling & Grading+ Below ground dismantling work and excluding Paving work of this package,OTH,2022-10-26,2023-01-14,,Award of Sub-Contracts by PS-RegionCivil,PSWR
,NIT,ENQ,2022-10-26,2022-10-26,,Award of Sub-Contracts by PS-RegionCivil- SG-+ ESP-+FGD- Absorber+Fan+ Duct up to Chimney etc+ BAH-+ SCR- + Levelling & Grading+ Below ground dismantling work and excluding Paving work of this package,PSWR
,LOI,ORD,2022-10-27,2022-12-25,,Award of Sub-Contracts by PS-RegionCivil- SG-+ ESP-+FGD- Absorber+Fan+ Duct up to Chimney etc+ BAH-+ SCR- + Levelling & Grading+ Below ground dismantling work and excluding Paving work of this package,PSWR
,MOBILIZATION BY AGENCY AT SITE,ORD,2022-12-26,2023-01-14,,Award of Sub-Contracts by PS-RegionCivil- SG-+ ESP-+FGD- Absorber+Fan+ Duct up to Chimney etc+ BAH-+ SCR- + Levelling & Grading+ Below ground dismantling work and excluding Paving work of this package,PSWR
,Civil -PH-1+X-mer Yard-1+ESP/FGD Control Room+ DG building  + Levelling & Grading+ Below ground dismantling work,OTH,2022-10-26,2023-02-28,,Award of Sub-Contracts by PS-RegionCivil,PSWR
,NIT,ENQ,2022-10-26,2022-10-26,,Award of Sub-Contracts by PS-RegionCivil -PH-+X-mer Yard-+ESP/FGD Control Room+ DG building  + Levelling & Grading+ Below ground dismantling work,PSWR
,LOI,ORD,2022-10-27,2022-12-25,,Award of Sub-Contracts by PS-RegionCivil -PH-+X-mer Yard-+ESP/FGD Control Room+ DG building  + Levelling & Grading+ Below ground dismantling work,PSWR
